MATCH_ID,SEASON,DATE,HOME_TEAM,AWAY_TEAM,STADIUM,HOME_TEAM_SCORE,AWAY_TEAM_SCORE,PENALTY_SHOOT_OUT,ATTENDANCE
mt1,2021-2022,15-09-2021,Manchester City,RB Leipzig,Etihad Stadium,6,3,0,38062
mt2,2021-2022,15-09-2021,Club Brugge KV,Paris Saint-Germain,Jan Breydel Stadion,1,1,0,27546
mt3,2021-2022,28-09-2021,Paris Saint-Germain,Manchester City,Parc des Princes,2,0,0,37350
mt4,2021-2022,28-09-2021,RB Leipzig,Club Brugge KV,Red Bull Arena,1,2,0,23500
mt5,2021-2022,19-10-2021,Club Brugge KV,Manchester City,Jan Breydel Stadion,1,5,0,24915
mt6,2021-2022,19-10-2021,Paris Saint-Germain,RB Leipzig,Parc des Princes,3,2,0,47359
mt7,2021-2022,03-11-2021,RB Leipzig,Paris Saint-Germain,Red Bull Arena,2,2,0,39794
mt8,2021-2022,03-11-2021,Manchester City,Club Brugge KV,Etihad Stadium,4,1,0,50228
mt9,2021-2022,24-11-2021,Manchester City,Paris Saint-Germain,Etihad Stadium,2,1,0,52030
mt10,2021-2022,24-11-2021,Club Brugge KV,RB Leipzig,Jan Breydel Stadion,0,5,0,24072
mt11,2021-2022,07-12-2021,RB Leipzig,Manchester City,Red Bull Arena,2,1,0,0
mt12,2021-2022,07-12-2021,Paris Saint-Germain,Club Brugge KV,Parc des Princes,4,1,0,47492
mt13,2021-2022,15-09-2021,Atlético Madrid,FC Porto,Wanda Metropolitano,0,0,0,40098
mt14,2021-2022,15-09-2021,Liverpool FC,AC Milan,Anfield,3,2,0,51445
mt15,2021-2022,28-09-2021,FC Porto,Liverpool FC,Estádio do Dragão,1,5,0,23520
mt16,2021-2022,28-09-2021,AC Milan,Atlético Madrid,Giuseppe Meazza,1,2,0,35374
mt17,2021-2022,19-10-2021,Atlético Madrid,Liverpool FC,Wanda Metropolitano,2,3,0,60725
mt18,2021-2022,19-10-2021,FC Porto,AC Milan,Estádio do Dragão,1,0,0,32130
mt19,2021-2022,03-11-2021,AC Milan,FC Porto,Giuseppe Meazza,1,1,0,39675
mt20,2021-2022,03-11-2021,Liverpool FC,Atlético Madrid,Anfield,2,0,0,51347
