PLAYER_ID,FIRST_NAME,LAST_NAME,NATIONALITY,DOB,TEAM,JERSEY_NUMBER,POSITION,HEIGHT,WEIGHT,FOOT
ply510,,Danilo,Brazil,15-07-1991,Juventus,6,Defender,184,78,R
ply511,Mattia De,Sciglio,Italy,20-10-1992,Juventus,2,Defender,182,78,R
ply512,Federico,Gatti,Italy,24-06-1998,Juventus,15,Defender,190,84,R
ply513,Daniele,Rugani,Italy,29-07-1994,Juventus,24,Defender,190,84,R
ply514,Enzo,Barrenechea,Argentina,22-05-2001,Juventus,45,Midfielder,186,81,L
ply515,Nicolò,Fagioli,Italy,12-02-2001,Juventus,44,Midfielder,178,70,R
ply516,Samuel,Iling,England,04-10-2003,Juventus,43,Midfielder,169,63,L
ply517,Filip,Kostić,Serbia,01-11-1992,Juventus,17,Midfielder,184,82,L
ply518,Manuel,Locatelli,Italy,08-01-1998,Juventus,5,Midfielder,186,75,R
ply519,Weston,McKennie,USA,28-08-1998,Juventus,8,Midfielder,183,84,R
ply520,Fabio,Miretti,Italy,03-08-2003,Juventus,20,Midfielder,179,65,R
ply521,Leandro,Paredes,Argentina,29-06-1994,Juventus,32,Midfielder,180,75,R
ply522,Paul,Pogba,France,15-03-1993,Juventus,10,Midfielder,191,84,
ply523,Adrien,Rabiot,France,03-04-1995,Juventus,25,Midfielder,191,80,L
ply524,Marley,Aké,France,05-01-2001,Juventus,33,Forward,177,68,R
ply525,Federico,Chiesa,Italy,25-10-1997,Juventus,7,Forward,175,70,R
ply526,Cosimo Da,Graca,Italy,01-05-2002,Juventus,40,Forward,185,74,R
ply527,Ángel Di,María,Argentina,14-02-1988,Juventus,22,Forward,180,75,L
ply528,Kaio,Jorge,Brazil,24-01-2002,Juventus,21,Forward,182,71,R
ply529,Moise,Kean,Italy,28-02-2000,Juventus,18,Forward,182,72,R
ply530,Arkadiusz,Milik,Poland,28-02-1994,Juventus,14,Forward,186,78,L
ply531,Matías,Soulé,Argentina,15-04-2003,Juventus,30,Forward,176,71,L
ply532,Dušan,Vlahović,Serbia,28-01-2000,Juventus,9,Forward,190,75,L
ply533,Lucas,Chevalier,France,06-11-2001,Lille OSC,30,Goalkeeper,192,78,R
ply534,Adam,Jakubech,Slovakia,02-01-1997,Lille OSC,16,Goalkeeper,188,85,R
ply535,Léo,Jardim,Brazil,20-03-1995,Lille OSC,1,Goalkeeper,188,82,R
ply536,Alexsandro,Ribeiro,Brazil,09-08-1999,Lille OSC,4,Defender,192,90,R
ply537,Bafodé,Diakité,France,06-01-2001,Lille OSC,18,Defender,185,82,R
ply538,Gabriel,Gudmundsson,Sweden,29-04-1999,Lille OSC,5,Defender,181,74,L
ply539,,Ismaily,Brazil,11-01-1990,Lille OSC,31,Defender,177,82,L
ply540,José,Fonte,Portugal,22-12-1983,Lille OSC,6,Defender,191,81,R
ply541,Tiago,Djaló,Portugal,09-04-2000,Lille OSC,3,Defender,190,82,R
ply542,Leny,Yoro,France,13-11-2005,Lille OSC,15,Defender,,,R
ply543,Akim,Zedadka,France,30-05-1995,Lille OSC,13,Defender,173,70,R
ply544,Benjamin,André,France,03-08-1990,Lille OSC,21,Midfielder,180,68,R
ply545,André,Gomes,Portugal,30-07-1993,Lille OSC,28,Midfielder,188,84,R
ply546,Carlos,Baleba,Cameroon,03-01-2004,Lille OSC,35,Midfielder,,,L
ply547,Rémy,Cabella,France,08-03-1990,Lille OSC,17,Midfielder,171,68,R
ply548,Angel,Gomes,England,31-08-2000,Lille OSC,20,Midfielder,168,56,R
ply549,Jonas,Martin,France,09-04-1990,Lille OSC,8,Midfielder,184,77,R
ply550,Ugo,Raghouber,France,13-07-2003,Lille OSC,12,Midfielder,179,62,L
ply551,Jonathan,Bamba,France,26-03-1996,Lille OSC,7,Forward,175,67,R
ply552,Mohamed,Bayo,Guinea,04-06-1998,Lille OSC,27,Forward,188,76,R
ply553,Jonathan,David,Canada,14-01-2000,Lille OSC,9,Forward,180,70,
ply554,José,Bica,Portugal,16-06-2003,Lille OSC,39,Forward,176,66,R
ply555,Isaac,Lihadji,France,10-04-2002,Lille OSC,19,Forward,177,70,L
ply556,Adam,Ounas,Algeria,11-11-1996,Lille OSC,11,Forward,172,65,L
ply557,Alan,Virginius,France,03-01-2003,Lille OSC,26,Forward,175,65,R
ply558,Timothy,Weah,USA,22-02-2000,Lille OSC,22,Forward,183,66,R
ply559,Edon,Zhegrova,Kosovo,31-03-1999,Lille OSC,23,Forward,181,72,L
ply560,,Adrián,Spain,03-01-1987,Liverpool FC,13,Goalkeeper,190,89,R
ply561,,Alisson,Brazil,02-10-1992,Liverpool FC,1,Goalkeeper,191,88,R
ply562,Harvey,Davies,England,03-09-2003,,,Goalkeeper,190,,L
ply563,Caoimhin,Kelleher,Ireland,23-11-1998,Liverpool FC,62,Goalkeeper,188,74,R
ply564,Trent,Alexander-Arnold,England,07-10-1998,Liverpool FC,66,Defender,180,69,R
ply565,Stefan,Bajčetić,Spain,22-10-2004,Liverpool FC,43,Defender,185,,
ply566,Luke,Chambers,England,24-06-2004,Liverpool FC,88,Defender,181,,L
ply567,Joe,Gomez,England,23-05-1997,Liverpool FC,2,Defender,188,77,R
ply568,Ibrahima,Konaté,France,25-05-1999,Liverpool FC,5,Defender,194,95,R
ply569,Joel,Matip,Cameroon,08-08-1991,Liverpool FC,32,Defender,195,89,R
ply570,Nathaniel,Phillips,England,21-03-1997,Liverpool FC,47,Defender,190,84,R
ply571,Calvin,Ramsay,Scotland,31-07-2003,Liverpool FC,22,Defender,177,68,R
ply572,Andrew,Robertson,Scotland,11-03-1994,Liverpool FC,26,Defender,178,64,L
ply573,Kostas,Tsimikas,Greece,12-05-1996,Liverpool FC,21,Defender,179,70,L
ply574,Virgil van,Dijk,Netherlands,08-07-1991,Liverpool FC,4,Defender,193,92,R
ply575,,Arthur,Brazil,12-08-1996,Liverpool FC,29,Midfielder,171,73,R
ply576,Harvey,Elliott,England,04-04-2003,Liverpool FC,19,Midfielder,170,67,L
ply577,,Fabinho,Brazil,23-10-1993,Liverpool FC,3,Midfielder,188,78,R
ply578,Jordan,Henderson,England,17-06-1990,Liverpool FC,14,Midfielder,187,80,R
ply579,Curtis,Jones,England,30-01-2001,Liverpool FC,17,Midfielder,185,75,R
ply580,Naby,Keïta,Guinea,10-02-1995,Liverpool FC,8,Midfielder,172,64,R
ply581,James,Milner,England,04-01-1986,Liverpool FC,7,Midfielder,175,70,R
ply582,Alex,Oxlade-Chamberlain,England,15-08-1993,Liverpool FC,15,Midfielder,175,70,R
ply583,,Thiago,Spain,11-04-1991,Liverpool FC,6,Midfielder,174,70,R
ply584,Bobby,Clark,England,07-02-2005,Liverpool FC,50,Forward,178,,R
ply585,Luis,Díaz,Colombia,13-01-1997,Liverpool FC,23,Forward,180,73,R
ply586,Diogo,Jota,Portugal,04-12-1996,Liverpool FC,20,Forward,178,70,R
ply587,Fabio,Carvalho,Portugal,30-08-2002,Liverpool FC,28,Forward,170,63,R
ply588,Darwin,Núñez,Uruguay,24-06-1999,Liverpool FC,27,Forward,187,80,R
ply589,Roberto,Firmino,Brazil,02-10-1991,Liverpool FC,9,Forward,181,76,R
ply590,Mo,Salah,Egypt,15-06-1992,Liverpool FC,11,Forward,175,73,L
ply591,John,Achterberg,Netherlands,08-07-1971,Liverpool FC,,Goalkeeping,189,90,
ply592,Cláudio,Taffarel,Brazil,08-05-1966,Liverpool FC,,Goalkeeping,182,80,
ply593,Jack,Robinson,England,,Liverpool FC,,Goalkeeping,,,
ply594,Jordan,Fairclough,England,,Liverpool FC,,Fitness,,,
ply595,John,Hill,England,,Liverpool FC,,Fitness,,,
ply596,Andreas,Kornmayer,Germany,21-09-1974,Liverpool FC,,Fitness,,,
