NAME,CITY,COUNTRY,CAPACITY
Giuseppe Meazza,Milano,Italy,75923
Johan Cruijff ArenA,Amsterdam,Netherlands,54990
Gewiss Stadium,Bergamo,Italy,26562
Wanda Metropolitano,Madrid,Spain,68000
Allianz Arena,München,Germany,75024
Vodafone Park,Istanbul,Turkey,41903
Signal Iduna Park,Dortmund,Germany,81365
Stadion Wankdorf,Bern,Switzerland,32000
Stamford Bridge,London,England,41837
Jan Breydel Stadion,Brugge,Belgium,29042
Olimpiyskyi,Kiev,Ukraine,70050
Spotify Camp Nou,Barcelona,Spain,99354
Estádio do Dragão,Porto,Portugal,54378
Sheriff Stadium,Tiraspol,Moldova,14300
Allianz Stadium,Torino,Italy,41254
Stade Pierre Mauroy,Villeneuve D’Ascq,France,50186
Anfield,Liverpool,England,54074
Nya Malmö Stadion,Malmö,Sweden,22500
Etihad Stadium,Manchester,England,55097
Old Trafford,Manchester,England,74140
Parc des Princes,Paris,France,48712
Red Bull Arena,Leipzig,Germany,42558
Red Bull Arena,Wals-Siezenheim,Austria,31895
Santiago Bernabéu,Madrid,Spain,81044
Ramón Sánchez Pizjuán,Sevilla,Spain,43883
Donbass Arena,Donetsk,Ukraine,52518
Estádio da Luz,Lisboa,Portugal,65272
Estádio José Alvalade,Lisboa,Portugal,52000
Volkswagen Arena,Wolfsburg,Germany,30000
Estadio de la Cerámica,Villarreal,Spain,23500
Gazprom Arena,St. Petersburg,Russia,68134
Stade de France,Paris - St. Denis,France,81338
Borussia-Park,Mönchengladbach,Germany,54022
MCH Arena,Herning,Denmark,11535
Groupama Aréna,Budapest,Hungary,23700
Krasnodar Stadium,Krasnodar,Russia,34652
Fatih Terim Stadium,Istanbul,Turkey,17319
Olimpico,Roma,Italy,70634
RŽD-Arena,Moskva,Russia,27320
Georgios Karaiskakis,Piräus,Greece,33334
Vélodrome,Marseille,France,67394
Roazhon Park,Rennes,France,29778
Alfredo Di Stéfano,Madrid,Spain,9000
Puskás Aréna,Budapest,Hungary,67215
Arena Națională,Bucuresti,Romania,55611
BayArena,Leverkusen,Germany,30210
Marakana,Beograd,Serbia,55538
Maksimir,Zagreb,Croatia,38079
Nef Stadyumu,Istanbul,Turkey,52280
Cegeka Arena,Genk,Belgium,24956
Groupama Stadium,Décines-Charpieu,France,59186
Sinobo Stadium,Praha,Czech Republic,19370
Diego Maradona,Napoli,Italy,60240
Tottenham Hotspur Stadium,London,England,62062
Estadio de Mestalla,Valencia,Spain,55000
Metalist Stadion,Kharkiv,Ukraine,41307
PreZero Arena,Sinsheim,Germany,30150
Agia Sophia Stadium,Athen,Greece,30597
Stade Louis II,Monaco,France,18524
VEB Arena,Moskva,Russia,30000
Veltins-Arena,Gelsenkirchen,Germany,62271
Philips Stadion,Eindhoven,Netherlands,35000
Doosan Arena,Plzeň,Czech Republic,12500
Wembley Stadium,London,England,90000
Spyros Louis (OAKA),Athen,Greece,71030
Luzhniki,Moskva,Russia,80840
Neo GSP Stadium,Nikosia,Cyprus,23650
Celtic Park,Glasgow,Scotland,60832
St. Jakob-Park,Basel,Switzerland,38512
De Kuip,Rotterdam,Netherlands,51177
Ljudski vrt,Maribor,Slovenia,12994
Qarabağ Stadium,Baku,Azerbaijan,4735
Lotto Park,Bruxelles,Belgium,22500
Otkrytie Arena,Moskva,Russia,44929
Baku National Stadium,Baku,Azerbaijan,68700
Emirates Stadium,London,England,60704
Telia Parken,København,Denmark,38076
Rostov Arena,Rostov-na-Donu,Russia,45000
Stadion Wojska Polskiego,Warszawa,Poland,31103
King Power Stadium,Leicester,England,32500
Huvepharma Arena,Razgrad,Bulgaria,9000
Vasil Levski,Sofia,Bulgaria,43632
Vicente Calderón,Madrid,Spain,54851
Olimp – 2,Rostov-na-Donu,Russia,15840
Arena Khimki,Khimki,Russia,18636
Millennium,Cardiff,Wales,74500
